fid;DI_2018;DI_2019;DI_2020;DI_2021;DI_2022;DI_2023;EVI_2018;EVI_2019;EVI_2020;EVI_2021;EVI_2022;EVI_2023;G_2018;G_2019;G_2020;G_2021;G_2022;G_2023;LL_2019;LL_2021;LL_2022;LL_2023;MSI_2018;MSI_2019;MSI_2020;MSI_2021;MSI_2022;MSI_2023;NDII_2018;NDII_2019;NDII_2020;NDII_2021;NDII_2022;NDII_2023;NDVI_2018;NDVI_2019;NDVI_2020;NDVI_2021;NDVI_2022;NDVI_2023;NDWI_2018;NDWI_2019;NDWI_2020;NDWI_2021;NDWI_2022;NDWI_2023;NIR_2018;NIR_2019;NIR_2020;NIR_2021;NIR_2022;NIR_2023;SWIR1_2018;SWIR1_2019;SWIR1_2020;SWIR1_2021;SWIR1_2022;SWIR1_2023;SWIR2_2018;SWIR2_2019;SWIR2_2020;SWIR2_2021;SWIR2_2022;SWIR2_2023
55;-0.223514514;-0.800017961;-0.517331651;-0.269618291;-0.033366111;-0.17000696;0.589064888;0.532744028;0.456901947;0.58761736;0.61536506;0.594428035;0.04348831;0.036850002;0.043785714;0.05260974;0.047678246;0.042787989;75;80;90;90;0.516485755;0.559987651;0.591966351;0.510490237;0.522473264;0.534867831;0.318853599;0.282064562;0.256309773;0.32408068;0.313654671;0.30305424;0.839966445;0.833428648;0.782853729;0.827647681;0.833437962;0.833974043;-0.763398394;-0.766351733;-0.721904789;-0.743285234;-0.77738239;-0.768046435;0.333788966;0.286335401;0.255285375;0.333522089;0.354294481;0.335522088;0.166417531;0.151750648;0.149082798;0.176416226;0.191525651;0.175182461;0.080583765;0.073712015;0.07236786;0.083848049;0.096762336;0.080505519
56;-0.163219658;-0.575793045;-0.435710415;-0.172351471;-0.032128334;-0.21637044;0.572414866;0.528370625;0.459388113;0.603305937;0.60574766;0.586858711;0.042776224;0.036850002;0.042915385;0.053203147;0.046352971;0.04205612;25;10;20;20;0.542162901;0.566781033;0.584403583;0.493325007;0.533006977;0.515676915;0.297427878;0.276596109;0.262350179;0.339566623;0.304729529;0.319870606;0.827178757;0.834868269;0.783086509;0.83322868;0.836084141;0.837949089;-0.753905284;-0.768242036;-0.718566117;-0.744701134;-0.77394091;-0.770820511;0.327024128;0.285445285;0.254395271;0.340959448;0.350912068;0.33382099;0.173577974;0.151790209;0.148034449;0.171312932;0.19004213;0.171068177;0.085687063;0.077490037;0.073455773;0.080683216;0.097513986;0.080841782
57;-0.224504203;-0.803698421;-0.518671393;-0.271214843;-0.033386428;-0.169245943;0.589338183;0.532815814;0.456861138;0.587359846;0.615522921;0.594552279;0.043499999;0.036850002;0.0438;0.0526;0.047699999;0.042800002;25;10;20;20;0.516064286;0.559876144;0.592090487;0.51077199;0.522300363;0.535182834;0.319205284;0.282154322;0.256210625;0.323826492;0.313801169;0.302778214;0.840176344;0.833405018;0.782849908;0.827556074;0.833394527;0.833908796;-0.763554215;-0.766320705;-0.721959591;-0.743261993;-0.777438879;-0.768000901;0.333900005;0.286350012;0.255299985;0.333400011;0.354350001;0.33555001;0.166299999;0.151749998;0.149100006;0.176499993;0.191550002;0.175249994;0.080499999;0.073650002;0.072350003;0.083899997;0.096749999;0.080499999
58;-0.334983332;-0.512699053;-0.009988323;-0.427590966;0.048589038;0.043999651;0.622830792;0.564909899;0.559722956;0.665029646;0.600564213;0.603794182;0.047039623;0.040140567;0.047025473;0.048966039;0.044947799;0.03978239;25;10;30;30;0.545986646;0.545142637;0.554012584;0.533472585;0.536366574;0.555561492;0.293972524;0.29457494;0.287105217;0.304357393;0.301924286;0.285841267;0.840319192;0.847681367;0.822583972;0.861946512;0.846096465;0.871987411;-0.770017529;-0.776802506;-0.746363218;-0.767245681;-0.783755102;-0.789494013;0.365893086;0.312327334;0.319660385;0.366730822;0.36128489;0.334347801;0.186079876;0.169430193;0.170801572;0.189836483;0.198237108;0.181989312;0.092343398;0.079712896;0.08096761;0.087456606;0.097863206;0.082825473
59;0.312776953;0.261833191;-0.015171796;0.327893615;-0.118753716;-0.627338171;0.533474743;0.513578415;0.521126449;0.643493831;0.633142829;0.674973726;0.0414;0.039999999;0.0471;0.051100001;0.047200002;0.0436;25;10;30;30;0.606934309;0.628035963;0.568827152;0.496106505;0.485261023;0.491011441;0.244605944;0.228488177;0.275171936;0.336803228;0.346569866;0.341371357;0.836746633;0.825315833;0.810239911;0.837337196;0.847728729;0.865936399;-0.77306366;-0.776442528;-0.749260306;-0.772294343;-0.789708376;-0.792866945;0.314300001;0.295750022;0.302900016;0.372000009;0.384449989;0.384200007;0.185200006;0.179450005;0.176950008;0.188800007;0.196199998;0.183500007;0.089400001;0.086050004;0.087549999;0.088799998;0.095300004;0.08585
60;0.278190207;0.190909565;-0.070368187;0.322985852;0.002170198;-0.334694809;0.563653621;0.51808984;0.528505357;0.647523907;0.617911878;0.660911594;0.044252518;0.040219424;0.048723742;0.051846043;0.047616909;0.046540289;50;50;80;80;0.576296604;0.61626857;0.556640351;0.493374296;0.501710701;0.494458677;0.269413281;0.237511236;0.285107144;0.339254715;0.332021847;0.33828635;0.837915059;0.818359133;0.809219457;0.838944623;0.839407369;0.859865467;-0.770341796;-0.770453365;-0.744097143;-0.766470494;-0.775290451;-0.785697428;0.332073375;0.297176282;0.308319784;0.376344615;0.373961498;0.37801223;0.185200006;0.179450005;0.176950008;0.188800007;0.196199998;0.183500007;0.089400001;0.086050004;0.087549999;0.088799998;0.095300004;0.08585
61;0.17074597;0.006591384;-0.145982193;0.268496381;0.107370783;0.040630124;0.587605654;0.518883472;0.5282901;0.645547831;0.590547008;0.634374645;0.046786399;0.0398536;0.049526403;0.051712;0.047247603;0.049250401;25;10;65;70;0.545023918;0.607575416;0.551055985;0.496217027;0.528200861;0.504607882;0.294702472;0.244242705;0.28979942;0.336863896;0.3088448;0.329379557;0.837060816;0.809725711;0.805463649;0.838058996;0.825569005;0.849632224;-0.765774213;-0.76175702;-0.737068704;-0.758855371;-0.7576893;-0.775982607;0.344687986;0.294494421;0.308190783;0.376613613;0.35532759;0.365485593;0.183036805;0.176243603;0.174255607;0.187136006;0.194753597;0.182482406;0.088670401;0.085115603;0.086109999;0.088351998;0.094756003;0.085402
62;-0.090476969;-0.380289134;-0.166787181;0.069273323;-0.096849858;0.045279617;0.527123228;0.498326162;0.488413312;0.616089182;0.557948235;0.599021303;0.042184937;0.037182636;0.044263808;0.047216319;0.043518831;0.044913388;50;50;70;70;0.577681232;0.63382919;0.592371454;0.522399318;0.550745989;0.528331135;0.268126432;0.22438314;0.256694338;0.314032158;0.289942022;0.308876154;0.82735751;0.810808442;0.795336109;0.825906503;0.812354935;0.839424327;-0.761281978;-0.757467649;-0.735306954;-0.758160211;-0.761139094;-0.773721373;0.302904591;0.275876993;0.279021755;0.354769888;0.333748329;0.346418616;0.17409833;0.162994557;0.163122179;0.180260251;0.188776978;0.178277617;0.08565565;0.081254603;0.080159829;0.086500835;0.09250816;0.083550837
63;-0.350059621;-0.611664871;-0.251570846;-0.143920571;-0.160372828;-0.06408482;0.486097046;0.489828804;0.444050363;0.588065183;0.538492684;0.573135152;0.0380625;0.034896751;0.03900525;0.045546;0.038544253;0.038523;50;70;60;70;0.619209665;0.638666257;0.663406983;0.557621241;0.572007513;0.57473236;0.235357573;0.220619283;0.202987701;0.284138036;0.272336798;0.270411264;0.812772968;0.814234407;0.77601463;0.818263628;0.817288706;0.847076268;-0.74439527;-0.756558321;-0.731359439;-0.755756597;-0.76999409;-0.780136608;0.272868002;0.263606493;0.245967996;0.330625004;0.314396761;0.325829745;0.168320503;0.154458991;0.155926502;0.175735996;0.184857486;0.175522249;0.083738501;0.078792249;0.076402495;0.085309999;0.091068249;0.082374501
64;0.081020023;-0.793907436;-0.054850108;-2.75E-04;-0.16174705;0.238745174;0.426686014;0.444746463;0.364843444;0.532800409;0.482283365;0.509352041;0.042945958;0.040011362;0.042585606;0.049531312;0.040178029;0.039772223;100;100;100;100;0.757762582;0.673850606;0.761331103;0.596962657;0.645052276;0.604291528;0.13922544;0.195552124;0.136733273;0.25283266;0.216650769;0.247031204;0.760856507;0.751704963;0.68975079;0.77543691;0.792853602;0.829700497;-0.705131459;-0.713798557;-0.656445612;-0.712581773;-0.751955837;-0.761818476;0.261819204;0.251919698;0.221982831;0.301259601;0.27840429;0.287562893;0.171882322;0.16471011;0.16053081;0.164616163;0.177473236;0.170700759;0.090427776;0.086133082;0.094211615;0.087047477;0.094239142;0.086631308
